com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
63020310,02db9014-1513-4829-ae77-b442704503a2.binning_data.json,63030110,2025-08-13 06:25:35.744,2025-07-17 01:28:07.981,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,02db9014-1513-4829-ae77-b442704503a2,1752624000000,
63030110,a9e9aeb8-edeb-4716-953b-531f4f07953f.binning_data.json,63030110,2025-08-18 09:24:11.352,2025-08-08 04:32:15.094,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,a9e9aeb8-edeb-4716-953b-531f4f07953f,1754092800000,
63030110,50d55259-5b12-40a4-9a32-67070e4e5947.binning_data.json,63030110,2025-08-18 09:24:11.775,2025-08-08 04:32:15.337,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,50d55259-5b12-40a4-9a32-67070e4e5947,1754179200000,
63030110,29541706-7094-486f-a5f7-7d3a1d94f6a8.binning_data.json,63030110,2025-08-18 09:24:13.368,2025-08-08 04:32:15.452,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,29541706-7094-486f-a5f7-7d3a1d94f6a8,1754265600000,
63030110,bd1b321f-220e-41a1-b22b-54f750a8d247.binning_data.json,63030110,2025-09-05 21:47:24.053,2025-08-17 09:54:54.190,13,2,ZYfDZ77fyr,com.sec.android.app.shealth,bd1b321f-220e-41a1-b22b-54f750a8d247,1754784000000,
63030110,7518bf44-0f7a-4f02-a118-c6d05c8d67ef.binning_data.json,63030110,2025-09-08 22:16:43.514,2025-08-17 09:54:54.217,17,2,ZYfDZ77fyr,com.sec.android.app.shealth,7518bf44-0f7a-4f02-a118-c6d05c8d67ef,1754956800000,
63030110,29a47fd5-0ed3-4c99-8b6e-b2454eb2fdb8.binning_data.json,63030110,2025-09-08 22:16:43.684,2025-08-17 09:54:54.305,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,29a47fd5-0ed3-4c99-8b6e-b2454eb2fdb8,1755043200000,
63030110,fa2b1584-dde6-404a-8535-cb2b132415c6.binning_data.json,63030110,2025-09-12 02:54:12.330,2025-08-17 09:54:54.386,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,fa2b1584-dde6-404a-8535-cb2b132415c6,1755302400000,
63030110,10ce2c95-516c-49dd-a885-e5b1a80cba97.binning_data.json,63030110,2025-09-05 21:47:24.211,2025-08-17 09:54:54.423,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,10ce2c95-516c-49dd-a885-e5b1a80cba97,1754870400000,
63030110,fc6e378f-9371-4b63-94fa-e343a7ccada5.binning_data.json,63030110,2025-09-10 17:39:14.982,2025-08-17 09:54:54.468,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,fc6e378f-9371-4b63-94fa-e343a7ccada5,1755129600000,
63030110,490fc34b-023e-46bd-9acc-b4e3d2e735c1.binning_data.json,63030110,2025-09-12 02:54:11.905,2025-08-17 10:11:30.067,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,490fc34b-023e-46bd-9acc-b4e3d2e735c1,1755388800000,
63030110,e719412e-367a-4bc2-8b78-b5c1fd8f0530.binning_data.json,63051050,2025-10-03 02:32:48.444,2025-09-05 21:47:23.755,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,e719412e-367a-4bc2-8b78-b5c1fd8f0530,1757030400000,
63030110,751db633-c7d6-4b40-9107-6c37d08b39f8.binning_data.json,63030110,2025-09-14 12:08:16.308,2025-09-05 21:47:23.845,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,751db633-c7d6-4b40-9107-6c37d08b39f8,1756857600000,
63030110,d8a1a963-3e82-48f3-9e1c-48ce56d442df.binning_data.json,63030110,2025-09-14 12:08:16.562,2025-09-05 21:47:23.868,6,2,ZYfDZ77fyr,com.sec.android.app.shealth,d8a1a963-3e82-48f3-9e1c-48ce56d442df,1756425600000,
63030110,c299f1e0-685b-4f1b-a479-835a69196a67.binning_data.json,63030110,2025-09-14 12:08:16.718,2025-09-05 21:47:23.903,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,c299f1e0-685b-4f1b-a479-835a69196a67,1756684800000,
63030110,a38663df-4604-44bd-8fbd-3023b7f7925c.binning_data.json,63030110,2025-09-14 12:08:16.935,2025-09-05 21:47:24.006,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,a38663df-4604-44bd-8fbd-3023b7f7925c,1756944000000,
63030110,0ebead47-d0f5-4c9f-bbcc-07750da7c217.binning_data.json,63030110,2025-09-14 12:08:17.019,2025-09-05 21:47:24.084,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,0ebead47-d0f5-4c9f-bbcc-07750da7c217,1756771200000,
63030110,1cdb5dca-b9c4-42b8-ab6b-3604b4d9a6ab.binning_data.json,63051050,2025-10-03 02:32:47.722,2025-09-06 15:29:43.857,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,1cdb5dca-b9c4-42b8-ab6b-3604b4d9a6ab,1757116800000,
63030110,84c24b0d-8d1d-431b-802c-d18c13c4187d.binning_data.json,63051050,2025-10-05 02:40:04.888,2025-09-08 13:55:06.859,10,2,ZYfDZ77fyr,com.sec.android.app.shealth,84c24b0d-8d1d-431b-802c-d18c13c4187d,1757289600000,
63030110,8d508443-ebad-474a-8b1f-d889870c3b3b.binning_data.json,63051050,2025-10-05 02:40:05.176,2025-09-10 13:46:54.930,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,8d508443-ebad-474a-8b1f-d889870c3b3b,1757376000000,
63030110,be9657a6-079a-4a3e-b180-1e79ad9350a6.binning_data.json,63051050,2025-10-08 02:07:36.082,2025-09-10 14:19:47.504,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,be9657a6-079a-4a3e-b180-1e79ad9350a6,1757462400000,
63030110,c7527e60-bc30-42c1-836e-95ea2a136f22.binning_data.json,63051050,2025-10-09 01:33:34.135,2025-09-11 13:51:01.554,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,c7527e60-bc30-42c1-836e-95ea2a136f22,1757548800000,
